#  Photon mass energy-absorption coefficients from PENELOPE
#  Material data file:      pmma.mat            
#  Mass density= 1.190000E+00 g/cm**3
# 
#  Tolerance = 1.000000E-01 %
#  Allotted simulation time = 1.000000E+02 s
#  Dump period= 1.000000E+01 s
#
#    Energy       mu/rho      mu_en/rho     (1-g)*f        f            1-g      uncert.      T
#     (eV)       (cm**2/g)    (cm**2/g)                                            (%)       (s)
# ---------------------------------------------------------------------------------------------------
   5.00000E+04  2.08171E-01  3.02003E-02  1.45074E-01  1.45090E-01  9.99890E-01  7.7E-02  1.0001E+01
   5.05000E+04  2.07222E-01  2.98209E-02  1.43908E-01  1.43922E-01  9.99903E-01  8.1E-02  1.0001E+01
   5.10000E+04  2.06302E-01  2.94619E-02  1.42810E-01  1.42823E-01  9.99904E-01  8.1E-02  1.0001E+01
   5.15000E+04  2.05385E-01  2.90772E-02  1.41574E-01  1.41588E-01  9.99898E-01  8.1E-02  1.0001E+01
   5.20000E+04  2.04496E-01  2.86917E-02  1.40304E-01  1.40320E-01  9.99887E-01  8.1E-02  1.0001E+01
   5.25000E+04  2.03635E-01  2.83762E-02  1.39349E-01  1.39362E-01  9.99906E-01  8.0E-02  1.0001E+01
   5.30000E+04  2.02799E-01  2.80917E-02  1.38520E-01  1.38534E-01  9.99901E-01  7.9E-02  1.0001E+01
   5.35000E+04  2.01987E-01  2.78075E-02  1.37670E-01  1.37684E-01  9.99897E-01  7.9E-02  1.0001E+01
   5.40000E+04  2.01199E-01  2.75157E-02  1.36759E-01  1.36773E-01  9.99897E-01  7.8E-02  1.0001E+01
   5.45000E+04  2.00434E-01  2.72245E-02  1.35828E-01  1.35839E-01  9.99914E-01  7.7E-02  1.0001E+01
   5.50000E+04  1.99690E-01  2.69759E-02  1.35089E-01  1.35102E-01  9.99906E-01  7.6E-02  1.0001E+01
   5.55000E+04  1.98966E-01  2.67424E-02  1.34407E-01  1.34419E-01  9.99910E-01  7.6E-02  1.0001E+01
   5.60000E+04  1.98239E-01  2.65504E-02  1.33931E-01  1.33945E-01  9.99901E-01  7.5E-02  1.0001E+01
   5.65000E+04  1.97531E-01  2.62875E-02  1.33080E-01  1.33092E-01  9.99915E-01  7.4E-02  1.0001E+01
   5.70000E+04  1.96842E-01  2.61017E-02  1.32603E-01  1.32614E-01  9.99913E-01  7.4E-02  1.0001E+01
   5.75000E+04  1.96170E-01  2.58792E-02  1.31922E-01  1.31934E-01  9.99910E-01  7.4E-02  1.0001E+01
   5.80000E+04  1.95516E-01  2.56745E-02  1.31317E-01  1.31328E-01  9.99913E-01  7.3E-02  1.0001E+01
   5.85000E+04  1.94877E-01  2.55427E-02  1.31071E-01  1.31082E-01  9.99912E-01  7.3E-02  1.0001E+01
   5.90000E+04  1.94254E-01  2.53360E-02  1.30427E-01  1.30440E-01  9.99907E-01  7.2E-02  1.0001E+01
   5.95000E+04  1.93645E-01  2.52104E-02  1.30189E-01  1.30201E-01  9.99907E-01  7.1E-02  1.0001E+01
   6.00000E+04  1.93051E-01  2.50426E-02  1.29720E-01  1.29731E-01  9.99917E-01  7.0E-02  1.0001E+01
   6.05000E+04  1.92464E-01  2.49105E-02  1.29429E-01  1.29439E-01  9.99926E-01  7.0E-02  1.0001E+01
   6.10000E+04  1.91874E-01  2.47472E-02  1.28976E-01  1.28987E-01  9.99918E-01  6.9E-02  1.0001E+01
   6.15000E+04  1.91298E-01  2.46430E-02  1.28820E-01  1.28829E-01  9.99929E-01  6.9E-02  1.0001E+01
   6.20000E+04  1.90735E-01  2.45297E-02  1.28606E-01  1.28617E-01  9.99917E-01  6.8E-02  1.0001E+01
   6.25000E+04  1.90184E-01  2.44073E-02  1.28335E-01  1.28346E-01  9.99917E-01  6.7E-02  1.0001E+01
   6.30000E+04  1.89646E-01  2.42760E-02  1.28007E-01  1.28016E-01  9.99926E-01  6.6E-02  1.0001E+01
   6.35000E+04  1.89119E-01  2.41858E-02  1.27887E-01  1.27896E-01  9.99931E-01  6.5E-02  1.0001E+01
   6.40000E+04  1.88604E-01  2.40725E-02  1.27635E-01  1.27643E-01  9.99937E-01  6.4E-02  1.0001E+01
   6.45000E+04  1.88099E-01  2.39546E-02  1.27351E-01  1.27362E-01  9.99916E-01  6.4E-02  1.0001E+01
   6.50000E+04  1.87605E-01  2.38690E-02  1.27230E-01  1.27239E-01  9.99927E-01  6.4E-02  1.0001E+01
   6.55000E+04  1.87123E-01  2.38228E-02  1.27311E-01  1.27319E-01  9.99938E-01  6.3E-02  1.0001E+01
   6.60000E+04  1.86638E-01  2.37265E-02  1.27125E-01  1.27135E-01  9.99925E-01  6.2E-02  1.0001E+01
   6.65000E+04  1.86156E-01  2.36722E-02  1.27163E-01  1.27173E-01  9.99925E-01  6.2E-02  1.0001E+01
   6.70000E+04  1.85684E-01  2.36217E-02  1.27215E-01  1.27223E-01  9.99933E-01  6.1E-02  1.0001E+01
   6.75000E+04  1.85220E-01  2.35468E-02  1.27129E-01  1.27137E-01  9.99936E-01  6.1E-02  1.0001E+01
   6.80000E+04  1.84765E-01  2.34773E-02  1.27066E-01  1.27074E-01  9.99935E-01  6.0E-02  1.0001E+01
   6.85000E+04  1.84319E-01  2.34137E-02  1.27028E-01  1.27037E-01  9.99931E-01  5.9E-02  1.0001E+01
   6.90000E+04  1.83881E-01  2.33646E-02  1.27064E-01  1.27073E-01  9.99930E-01  5.9E-02  1.0001E+01
   6.95000E+04  1.83451E-01  2.33300E-02  1.27173E-01  1.27182E-01  9.99931E-01  5.8E-02  1.0001E+01
   7.00000E+04  1.83028E-01  2.32868E-02  1.27231E-01  1.27239E-01  9.99936E-01  5.8E-02  1.0001E+01
   7.05000E+04  1.82613E-01  2.32508E-02  1.27323E-01  1.27330E-01  9.99945E-01  5.8E-02  1.0001E+01
   7.10000E+04  1.82205E-01  2.31712E-02  1.27171E-01  1.27179E-01  9.99937E-01  5.7E-02  1.0001E+01
   7.15000E+04  1.81802E-01  2.31823E-02  1.27514E-01  1.27522E-01  9.99933E-01  5.6E-02  1.0001E+01
   7.20000E+04  1.81391E-01  2.31320E-02  1.27526E-01  1.27534E-01  9.99934E-01  5.5E-02  1.0001E+01
   7.25000E+04  1.80986E-01  2.31208E-02  1.27749E-01  1.27758E-01  9.99932E-01  5.5E-02  1.0001E+01
   7.30000E+04  1.80588E-01  2.30751E-02  1.27777E-01  1.27785E-01  9.99941E-01  5.5E-02  1.0001E+01
   7.35000E+04  1.80196E-01  2.30379E-02  1.27849E-01  1.27857E-01  9.99940E-01  5.4E-02  1.0001E+01
   7.40000E+04  1.79810E-01  2.30239E-02  1.28046E-01  1.28053E-01  9.99944E-01  5.4E-02  1.0001E+01
   7.45000E+04  1.79430E-01  2.30009E-02  1.28189E-01  1.28196E-01  9.99942E-01  5.3E-02  1.0001E+01
   7.50000E+04  1.79055E-01  2.29859E-02  1.28373E-01  1.28380E-01  9.99945E-01  5.3E-02  1.0001E+01
   7.55000E+04  1.78687E-01  2.29641E-02  1.28516E-01  1.28523E-01  9.99944E-01  5.2E-02  1.0001E+01
   7.60000E+04  1.78324E-01  2.29518E-02  1.28708E-01  1.28715E-01  9.99950E-01  5.2E-02  1.0001E+01
   7.65000E+04  1.77967E-01  2.29342E-02  1.28868E-01  1.28875E-01  9.99948E-01  5.2E-02  1.0001E+01
   7.70000E+04  1.77615E-01  2.29486E-02  1.29204E-01  1.29212E-01  9.99941E-01  5.1E-02  1.0001E+01
   7.75000E+04  1.77269E-01  2.29073E-02  1.29224E-01  1.29231E-01  9.99945E-01  5.1E-02  1.0001E+01
   7.80000E+04  1.76921E-01  2.29026E-02  1.29451E-01  1.29457E-01  9.99955E-01  5.0E-02  1.0001E+01
   7.85000E+04  1.76570E-01  2.29034E-02  1.29713E-01  1.29720E-01  9.99951E-01  4.9E-02  1.0001E+01
